product_id,title,handle,status,launch_tag,active_launch_gate,product_type,variant_count,option_value_count,default_only,sku_variant_count,empty_sku_count,variants_with_unit_cost,min_price,max_price,max_unit_cost,worst_canada_shipping_cap,risk_flags,risk_severity,decision,next_action
9326916829434,Children's Foot Measuring Gauge,kids-toddler-foot-measure-gauge-shoes-size-measuring-ruler-tool-baby-boy-girl-childrens-foot-length-measuring-ruler-fittings,ACTIVE,yes,yes,Measuring Tools,5,5,no,5,0,5,6.47,13.99,3.64,0.51,child_safety,hard_hold,HOLD_RISK_REVIEW,Keep held until safety/claims/IP/compliance review is complete.
9326918205690,Adjustable Rhinestone Ring,minimalist-acrylic-rhinestone-open-ring-for-women-korean-fashion-geometry-adjustable-knuckle-ring-party-jewelry-lady-gifts,ACTIVE,yes,yes,,2,2,no,2,0,2,14.99,14.99,3.50,4.07,,,LIVE_QUOTE_REQUIRED,"Capture exact Canada and US DSers quotes; approve, reprice, or remove launch tag."
9326917550330,Breezy Everyday Pants,ice-silk-mens-pants-2025-summer-new-black-gray-thin-business-casual-pants-outdoor-elastic-breathable-straight-leg-sweatpants,ACTIVE,yes,yes,,28,11,no,28,0,28,24.49,33.40,13.36,3.10,,,LIVE_QUOTE_REQUIRED,"Capture exact Canada and US DSers quotes; approve, reprice, or remove launch tag."
9326918271226,Car Sun Visor Organizer,sun-visor-organizer-clip,ACTIVE,yes,yes,Car Organization,3,3,no,3,0,3,14.99,14.99,3.23,4.34,,,LIVE_QUOTE_REQUIRED,"Capture exact Canada and US DSers quotes; approve, reprice, or remove launch tag."
9326918795514,Compact Bicycle Bell,compact-bicycle-bell,ACTIVE,yes,yes,Cycling Accessories,6,6,no,6,0,6,14.99,14.99,3.80,3.77,,,LIVE_QUOTE_REQUIRED,"Capture exact Canada and US DSers quotes; approve, reprice, or remove launch tag."
9326919876858,Copper Washer Assortment,300-280-200-100pcs-washer-copper-sealing-solid-gasket-washer-sump-plug-oil-for-boat-crush-flat-seal-ring-tool,ACTIVE,yes,yes,Washers,4,4,no,4,0,4,18.99,53.97,21.59,3.24,,,LIVE_QUOTE_REQUIRED,"Capture exact Canada and US DSers quotes; approve, reprice, or remove launch tag."
9326919418106,Everyday Carabiner Clip Set,4pcs-metal-carabiner-clip-keychain-hook-holder-key-ring-organizer-for-car-keys-daily-storage,ACTIVE,yes,yes,,2,3,no,2,0,2,14.99,14.99,3.05,4.52,,,LIVE_QUOTE_REQUIRED,"Capture exact Canada and US DSers quotes; approve, reprice, or remove launch tag."
9326917681402,Everyday Fleece Joggers,hot-sales-mens-sweatpants-printing-casual-pants-outdoor-gym-sports-jogging-pants-autumn-winter-man-trousers-fitness-sportswear,ACTIVE,yes,yes,,21,10,no,21,0,21,28.23,39.98,15.99,3.24,,,LIVE_QUOTE_REQUIRED,"Capture exact Canada and US DSers quotes; approve, reprice, or remove launch tag."
9326917517562,Everyday Performance Shorts,clearance_summer-running-shorts-for-men-casual-jogging-sport-short-pants-wave-pattern-solid-color-drawstring-loose-dry-gym-sport,ACTIVE,yes,yes,,21,10,no,21,0,21,34.32,54.99,22.00,4.00,,,LIVE_QUOTE_REQUIRED,"Capture exact Canada and US DSers quotes; approve, reprice, or remove launch tag."
9326918664442,Everyday Polarized Sunglasses,nd-dimming-glasses-polarized-sunglasses-men-women-round-retro-punk-driving-eyeglasses-outdoor-shades-uv400-adjustable-eyewear,ACTIVE,yes,yes,,3,4,no,3,0,3,29.99,29.99,12.17,3.29,,,LIVE_QUOTE_REQUIRED,"Capture exact Canada and US DSers quotes; approve, reprice, or remove launch tag."
9326917845242,Everyday Printed Joggers,2024-mens-print-pants-autumn-winter-new-in-mens-clothing-trousers-sport-jogging-fitness-running-trousers-harajuku-streetwear,ACTIVE,yes,yes,,18,9,no,18,0,18,24.99,28.02,11.21,3.05,,,LIVE_QUOTE_REQUIRED,"Capture exact Canada and US DSers quotes; approve, reprice, or remove launch tag."
9326918074618,Everyday Pullover Hoodie,mens-casual-sports-hoodie-spring-autumn-fashion-solid-color-long-sleeved-pullover-with-arm-pocket-and-pull-rope-plus-size,ACTIVE,yes,yes,Hoodies,48,14,no,48,0,48,54.99,61.99,29.06,3.04,,,LIVE_QUOTE_REQUIRED,"Capture exact Canada and US DSers quotes; approve, reprice, or remove launch tag."
9326918729978,Everyday Zip Hoodie,zipper-hoodies-autumn-winter-mens-new-long-sleeve-hooded-sweatshirt-fashion-casual-male-outfit-sportwear-loose-fit-clothes,ACTIVE,yes,yes,,18,9,no,18,0,18,24.49,35.13,14.05,3.12,,,LIVE_QUOTE_REQUIRED,"Capture exact Canada and US DSers quotes; approve, reprice, or remove launch tag."
9326917419258,Long-Handle Bottle Brush,long-handle-silicone-bottle-brush-cleaning-brush-kitchen-cleaning-cup-brush-thermos-glass-brush-cleaning-tools,ACTIVE,yes,yes,,2,2,no,2,0,2,11.99,11.99,2.69,3.31,,,LIVE_QUOTE_REQUIRED,"Capture exact Canada and US DSers quotes; approve, reprice, or remove launch tag."
9326917779706,Long-Sleeve Performance Tee,men-bodybuilding-sport-t-shirt-quick-dry-running-shirt-long-sleeve-compression-top-gym-t-shirt-men-fitness-tight-rashgard,ACTIVE,yes,yes,,35,12,no,35,0,35,22.99,29.04,11.62,3.03,,,LIVE_QUOTE_REQUIRED,"Capture exact Canada and US DSers quotes; approve, reprice, or remove launch tag."
9326918303994,Men's Cotton-Linen Wide-Leg Pants,2025-summer-mens-cotton-and-linen-oversized-wide-leg-pants-mens-artistic-style-elastic-waist-solid-color-casual-loose-pants,ACTIVE,yes,yes,Apparel & Accessories,100,22,no,100,0,100,39.40,39.40,16.26,4.14,,,LIVE_QUOTE_REQUIRED,"Capture exact Canada and US DSers quotes; approve, reprice, or remove launch tag."
